Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description,Job Title Classified Group
College Possible,Minnesota,College coach,Education - Nonprofit,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Education & Teaching
Collemcvoy,Minnesota,Assistant Media Planner,Marketing - Advertising Agency,7. Professional Services & Consulting,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Marketing & Communications
Collins Aerospace,Minnesota,Associate Engineer,Manufacturing - Aerospace Systems,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Community of Peace Academy,Minnesota,3rd grade teacher,Education - Charter School,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences.",Education & Teaching
Compute North,Minnesota,Software Engineer,Technology - Data Center / Crypto Mining,1. Technology & Software,"Designs, develops, tests, and maintains software applications and systems.",Software & IT
Comunidad de Madrid,Do not live in the United States,Cultural Language Assistant,Government - Regional (Spain),6. Government & Public Service,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Government & Public Service
Concept Financial Goup,Minnesota,President,Financial Services - Financial Planning,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Management & Leadership
Congressional Leadership Fund,Virginia,Digital Fundraising Manager,Government - Political,6. Government & Public Service,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Marketing & Communications
Covenant Building and Remodeling,Minnesota,Laborer,Construction - Residential,"10. Construction, Engineering & Real Estate",Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Engineering
CRAVE American Kitchen & Sushi Bar,Minnesota,"Hostess, Waiters Assistant",Hospitality - Restaurant,8. Retail & Consumer Products,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Sales & Business Development
Creed Interactive,Minnesota,Associate Designer,Technology - Digital Agency,1. Technology & Software,"Shapes visual identities, user experiences, or product concepts through creative design thinking and iterative prototyping.",Design & Creative
Cricket Health,Minnesota,Information Security Risk and Compliance Analyst,Healthcare - Kidney Care,2. Healthcare & Medical,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Finance & Accounting
Cristo Rey Jusuit High School,Minnesota,Spanish teacher,Education - Private K-12,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences.",Education & Teaching
Currie & Brown,Do not live in the United States,Cost and Data Analyst,Professional Services - Construction Consulting,7. Professional Services & Consulting,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Consulting & Advisory
Chowbus,Illinois,Accounting Assistant,Technology - Food Delivery App,1. Technology & Software,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Finance & Accounting
Cushman & Wakefield,Illinois,Associate Broker,Real Estate - Commercial Services,"10. Construction, Engineering & Real Estate","Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time.",Sales & Business Development
CVS,Minnesota,Pharmacy technician,Healthcare - Pharmacy & Retail,2. Healthcare & Medical,"Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance.",Healthcare & Clinical
Cvs,Minnesota,Pharmacy technician,Healthcare - Pharmacy & Retail,2. Healthcare & Medical,"Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance.",Healthcare & Clinical
Dahl Consulting,Minnesota,Associate Recruiter,Professional Services,7. Professional Services & Consulting,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time.",Human Resources
Daikin Applied,Minnesota,Product Engineer,Manufacturing - HVAC,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Dedicated Logistics Services,Minnesota,Carrier Sales Representative,Transportation - Logistics,7. Professional Services & Consulting,"Serves as the primary liaison between the organization and its clients or partners, managing relationships and resolving issues.",Sales & Business Development
Deep Rock,Colorado,Automotive Mechanic,Manufacturing,4. Manufacturing & Industrial,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Construction & Trades
Delkor,Minnesota,Mechanical Engineer,Manufacturing - Packaging Machines,4. Manufacturing & Industrial,"Designs, develops, and tests mechanical devices, tools, engines, and machines.",Engineering
Deloitte,Minnesota,Audit Associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Examines financial statements and business operations to ensure accuracy, compliance, and proper internal controls.",Finance & Accounting
Deloitte,Minnesota,Accounting Associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time.",Finance & Accounting
Deloitte,Minnesota,Actuarial analyst t,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Finance & Accounting
Deloitte,Minnesota,Tax Consultant,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges.",Finance & Accounting
