Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description
Cushman & Wakefield,Illinois,Associate Broker,Real Estate - Commercial Services,"10. Construction, Engineering & Real Estate","Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
CVS,Minnesota,Pharmacy technician,Healthcare - Pharmacy & Retail,2. Healthcare & Medical,"Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance."
Cvs,Minnesota,Pharmacy technician,Healthcare - Pharmacy & Retail,2. Healthcare & Medical,"Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance."
Dahl Consulting,Minnesota,Associate Recruiter,Professional Services,7. Professional Services & Consulting,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Daikin Applied,Minnesota,Product Engineer,Manufacturing - HVAC,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Dedicated Logistics Services,Minnesota,Carrier Sales Representative,Transportation - Logistics,7. Professional Services & Consulting,"Serves as the primary liaison between the organization and its clients or partners, managing relationships and resolving issues."
Deep Rock,Colorado,Automotive Mechanic,Manufacturing,4. Manufacturing & Industrial,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Delkor,Minnesota,Mechanical Engineer,Manufacturing - Packaging Machines,4. Manufacturing & Industrial,"Designs, develops, and tests mechanical devices, tools, engines, and machines."
Deloitte,Minnesota,Audit Associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Examines financial statements and business operations to ensure accuracy, compliance, and proper internal controls."
Deloitte,Minnesota,Accounting Associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Deloitte,Minnesota,Actuarial analyst t,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Deloitte,Minnesota,Tax Consultant,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges."
Deloitte,Minnesota,Analyst,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Examines data and information to provide insights, recommendations, and support decision-making."
Deloitte,Minnesota,Tax Consultant,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges."
Deloitte,Minnesota,Tax Intern,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions."
Delta Air Lines,Georgia,Customer Service Representative,Transportation - Airlines,7. Professional Services & Consulting,"Serves as the primary liaison between the organization and its clients or partners, managing relationships and resolving issues."
Deluxe,Minnesota,Human Resources Service Center Representative,Financial Services - Payments & Business Technology,1. Technology & Software,"Serves as the primary liaison between the organization and its clients or partners, managing relationships and resolving issues."
Department of Corrections-Wisconsin,Wisconsin,HR Assistant,Government - Corrections,6. Government & Public Service,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly."
Department of Veteran's Affairs,Minnesota,Medical Analyst,Government - Veterans Affairs,6. Government & Public Service,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Destined Consulting Solutions,Minnesota,MIT Program,Professional Services - Consulting,7. Professional Services & Consulting,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Digital Strategies Inc,Minnesota,Data Analyst,Technology - IT Services,1. Technology & Software,"Collects, processes, and performs statistical analyses on large datasets to help organizations make informed decisions."
Dog Haus,California,Bartender and Server,Hospitality - Restaurant (Fast Casual),8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
DoorDash,California,Delivery Driver,Technology - Food Delivery Platform,1. Technology & Software,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
DoorDash Driver App,California,Delivery Driver,Technology - Food Delivery Platform,1. Technology & Software,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
DraftKings,Minnesota,Customer Experience Associate,Entertainment - Sports Betting,8. Retail & Consumer Products,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
DRG,Minnesota,Urban Realtor,Information Services - Market Research,1. Technology & Software,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
DRPM,Minnesota,Neural Network Engineer,Professional Services - Consulting,7. Professional Services & Consulting,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Dunn Brothers Coffee,Minnesota,Barista,Hospitality - Coffee Shop,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
