Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description
Digital Strategies Inc,Minnesota,Data Analyst,Technology - IT Services,1. Technology & Software,"Collects, processes, and performs statistical analyses on large datasets to help organizations make informed decisions."
Dog Haus,California,Bartender and Server,Hospitality - Restaurant (Fast Casual),8. Retail & Consumer Products,A specialized professional role. (Description not available - requires further research.)
DoorDash,California,Delivery Driver,Technology - Food Delivery Platform,1. Technology & Software,A specialized professional role. (Description not available - requires further research.)
DoorDash Driver App,California,Delivery Driver,Technology - Food Delivery Platform,1. Technology & Software,A specialized professional role. (Description not available - requires further research.)
DraftKings,Minnesota,Customer Experience Associate,Entertainment - Sports Betting,8. Retail & Consumer Products,A professional entry-to-mid level professional contributing to team objectives in their functional area.
DRG,Minnesota,Urban Realtor,Information Services - Market Research,1. Technology & Software,A specialized professional role. (Description not available - requires further research.)
DRPM,Minnesota,Neural Network Engineer,Professional Services - Consulting,7. Professional Services & Consulting,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Dunn Brothers Coffee,Minnesota,Barista,Hospitality - Coffee Shop,8. Retail & Consumer Products,A specialized professional role. (Description not available - requires further research.)
Eagle Creek,Minnesota,Human Resources Assistant,Technology - IT Services,1. Technology & Software,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
Eagle Creek Technology,North Dakota,Analyst,Technology - IT Services,1. Technology & Software,"Examines data and information to provide insights, recommendations, and support decision-making."
Eclipse Music Group,Tennessee,Management Coordinator,Entertainment - Music,8. Retail & Consumer Products,"A professional organizational role that manages logistics, schedules, and communication across teams."
Ecolab,Minnesota,Chemist,Diversified - Hygiene & Infection Prevention,4. Manufacturing & Industrial,A specialized professional role. (Description not available - requires further research.)
Ecolab,Minnesota,Marketing Associate,Diversified - Hygiene & Infection Prevention,4. Manufacturing & Industrial,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Ecolab,Minnesota,Procurement Specialist,Diversified - Hygiene & Infection Prevention,4. Manufacturing & Industrial,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
Ecolab,Minnesota,Financial Analyst,Diversified - Hygiene & Infection Prevention,4. Manufacturing & Industrial,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting."
Ecolab,Minnesota,Associate Financial Analyst,Diversified - Hygiene & Infection Prevention,4. Manufacturing & Industrial,A professional analytical role focused on examining data and providing insights to support decisions.
Ecolab,Minnesota,Finance Intern,Diversified - Hygiene & Infection Prevention,4. Manufacturing & Industrial,A professional temporary learning position for students or recent graduates to gain professional experience.
Ecolab,Minnesota,Logistics Specialist,Diversified - Hygiene & Infection Prevention,4. Manufacturing & Industrial,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
Ed’s Buckthorn Control,Minnesota,Field Technician,Professional Services - Landscaping,7. Professional Services & Consulting,"A professional hands-on technical role maintaining, repairing, or operating equipment and systems."
EFCO Forming & Shoring Solutions,Iowa,Territory Manager,Construction - Formwork,"10. Construction, Engineering & Real Estate","A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Eickhof Columbaria Inc.,Minnesota,Director of Marketing,Manufacturing - Memorial Products,4. Manufacturing & Industrial,A professional senior leadership role setting strategy and overseeing departments or major functions.
Element Materials Technology,Minnesota,Microbiology Lab Support Specialist,Manufacturing - Testing & Inspection,4. Manufacturing & Industrial,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
Emergency Care Consultants,Iowa,Medical Scribe,Healthcare - Emergency Medicine,2. Healthcare & Medical,"Documents patient encounters in real-time, assisting physicians with electronic health record documentation."
Emergency Care Consultants,,Scribe,Healthcare - Emergency Medicine,2. Healthcare & Medical,A professional documents information (typically medical encounters) in real-time for record-keeping.
Emergency Care Consultants,Minnesota,Medical Scribe,Healthcare - Emergency Medicine,2. Healthcare & Medical,"Documents patient encounters in real-time, assisting physicians with electronic health record documentation."
Emerson Electric,Minnesota,Human Resources Representative,Manufacturing - Industrial Automation,4. Manufacturing & Industrial,A professional role serving as a point of contact between an organization and its clients or partners.
Endeavor Air,Minnesota,Flight Attendant,Transportation - Regional Airlines,7. Professional Services & Consulting,A specialized professional role. (Description not available - requires further research.)
